Person 	Since 	Until
sworddragon-guest@alioth 	August 2012 	May 2015
sudip 	October 2019 	April 2026
woodrowshen 	November 2019 	February 2024
marciosouza 	April 2019 	February 2023
mnemo-guest@alioth 	April 2008 	July 2009
georg 	July 2011 	February 2026
vvidic 	November 2016 	March 2026
yugiohjcj-guest@alioth 	June 2011 	December 2011
josueortega@debian 	June 2012 	July 2022
sur5r 	July 2007 	March 2026
mogaal@debian 	March 2005 	September 2020
Sakirnth Nagarasa 	October 2021 	March 2026
cento 	April 2012 	May 2012
A S Alam 	April 2006 	October 2017
Aaron Lehmann 	April 2002 	April 2026
Aaron M. Ucko 	June 1999 	April 2026
Aaron Porter 	August 2003 	January 2011
Aaron REad 	October 2002 	December 2008
Aaron Schrab 	July 2001 	October 2025
Aaron Toponce 	September 2007 	May 2018
Aaron Van Couwenberghe 	December 1999 	January 2001
Aaron Zauner 	April 2014 	November 2020
Aarsh Shah 	April 2013 	April 2013
Aarti Kashyap 	January 2017 	January 2018
Abdelhakim Qbaich 	July 2017 	August 2025
Abdul Rahim Nizamani 	March 2012 	March 2012
AbdulKarim Memon 	August 2010 	September 2013
Abduqadir Abliz 	September 2011 	March 2014
Abel McClendon 	August 2006 	November 2014
Abhijit A. M. 	June 2010 	January 2017
Abhijith PA 	June 2015 	April 2026
Abhinav Krishna C K 	April 2020 	June 2024
Abhishek Bhattacharjee 	March 2014 	October 2014
Abhishek Dasgupta 	September 2008 	April 2012
Abhishek Kumar 	March 2012 	April 2012
Abhishek Kuvalekar 	January 2017 	January 2017
Abou Al Montacir 	August 2009 	April 2026
Abraham van der Merwe 	May 2001 	December 2008
Account Inactive 	November 2001 	May 2005
Achim Bohnet 	March 2005 	March 2008
Achim D. Brucker 	June 2004 	January 2016
Achim Schaefer 	September 2005 	December 2020
Adam Baxter 	January 2010 	April 2024
Adam Bolte 	October 2011 	March 2026
Adam Borowski 	February 2003 	November 2025
Adam Byrtek 	February 2002 	November 2007
Adam Conrad 	January 2000 	February 2021
Adam Cécile (Le_Vert) 	October 2005 	July 2024
Adam D. Barratt 	February 2007 	October 2008
Adam D. Barratt 	March 2006 	April 2026
Adam D. McKenna 	March 1999 	November 2007
Adam Di Carlo 	February 1998 	December 2009
Adam Garside 	May 2003 	September 2008
Adam Guthrie 	August 2009 	May 2011
Adam Heath 	May 1998 	November 2007
Adam Kessel 	January 2004 	November 2011
Adam Klein 	February 1998 	November 2001
Adam Lazur 	August 1999 	December 2008
Adam Majer 	October 2001 	October 2025
Adam Michal Ziaja 	January 2012 	March 2012
Adam Nielsen 	December 2008 	October 2017
Adam Powell 	November 1999 	May 2012
Adam Rogoyski 	May 1999 	November 2007
Adam Sampson 	January 2009 	February 2026
Adam Schmalhofer 	June 2009 	February 2014
Adam Sjøgren 	July 2000 	May 2025
Adam Thomas-Murphy 	June 2012 	July 2012
Adam Thornton 	February 2004 	August 2009
Adam Trickett 	July 2005 	February 2015
Adam Wight 	April 2015 	April 2017
Ade Lee 	January 2014 	January 2014
Adeodato Simó 	October 2003 	February 2022
Aditya Neralkar 	January 2017 	January 2017
Aditya Vaidya 	February 2012 	June 2017
Adnan Hodzic 	October 2008 	October 2023
Adolfo Neto 	March 2017 	March 2017
Adre Lanos 	July 2012 	June 2021
Adriaan Peeters 	March 2001 	August 2011
Adriaan Peeters 	October 2008 	April 2017
Adrian Alves 	May 2013 	October 2021
Adrian Bridgett 	December 1998 	April 2012
Adrian Bunk 	November 2000 	April 2026
Adrian Friedli 	February 2005 	February 2026
Adrian Heine 	January 2012 	April 2025
Adrian Knoth 	July 2002 	January 2021
Adrian Mastronardi 	May 2005 	May 2005
Adrian Perez 	June 2009 	September 2010
Adrian Vondendriesch 	April 2015 	April 2023
Adrian von Bidder 	April 2005 	April 2011
Adriana Costa 	January 2016 	May 2020
Adriano Rafael Gomes 	April 2006 	December 2025
Adrien Cunin 	September 2004 	May 2025
Adrien Grellier 	January 2007 	March 2019
Adrià Cereto Massagué 	March 2009 	May 2011
Adrià García-Alzórriz 	October 2012 	February 2025
Adrián Gibanel López 	January 2008 	September 2024
Adrián Santos Marrero 	August 2004 	January 2006
Adrián Yanes 	October 2009 	October 2009
Afif Elghraoui 	April 2015 	September 2025
Afif Elghraoui 	February 2016 	November 2025
Agathe Porte 	February 2020 	March 2026
Aggelos Avgerinos 	November 2014 	June 2021
Agney Lopes Roth Ferraz 	April 2006 	April 2017
Agus Purnomo 	April 2011 	February 2014
Agustin Henze 	September 2011 	April 2026
Agustín Martín Domingo 	April 1998 	April 2026
Ahmad Saif 	June 2012 	January 2014
Ahmed Baizid 	November 2002 	July 2016
Ahmed El-Mahmoudy 	November 2004 	March 2026
Ahmed Sayed 	May 2008 	May 2008
Ahmed Siam 	March 2024 	February 2026
Ahmed Toulan 	September 2011 	January 2013
Aiet Kolkhi 	February 2005 	March 2011
Aigars Mahinovs 	December 2000 	April 2026
Aivar Annamaa 	March 2017 	November 2022
Akash Doppalapudi 	November 2023 	March 2026
Akash Santhosh 	September 2023 	November 2025
Akash Sarda 	January 2017 	April 2017
Akhil Mohan 	October 2013 	February 2015
Akhil Varkey 	October 2017 	July 2025
Akhil Vij 	April 2012 	August 2012
Akira Ohashi 	June 2001 	April 2026
Akira TAGOH 	October 2001 	April 2019
Akira Yamada 	May 1999 	September 2018
Akkana Peck 	November 2003 	November 2022
Akshat Singh 	March 2013 	August 2025
Akshay Mankar 	April 2011 	September 2011
Akshay S Dinesh 	March 2015 	October 2024
Akshita Jha 	October 2014 	October 2015
Al Stone 	November 2003 	July 2024
Al Stone 	June 2001 	December 2008
Alad Wenter 	January 2014 	May 2014
Alain Schroeder 	September 2000 	April 2012
Alan Baghumian 	November 2004 	September 2017
Alan Bain 	February 2001 	April 2010
Alan Boudreault 	February 2009 	May 2011
Alan Haggai Alavi 	May 2010 	June 2010
Alan Mackenzie 	October 2002 	June 2008
Alan Williams 	January 2011 	February 2012
Alan Woodland 	March 2006 	January 2020
Alastair McKinstry 	January 2002 	April 2026
Alba Crespi 	March 2015 	August 2017
Alban Browaeys 	June 2002 	March 2026
Alban Vidal 	October 2016 	February 2025
Alberico Colpo 	October 2010 	December 2010
Albert Cahalan 	February 2005 	October 2012
Albert Dengg 	February 2007 	June 2020
Albert Huang 	February 2010 	July 2015
Albert Huang 	June 2012 	August 2013
Albert Huang 	April 2005 	January 2014
Alberto Gonzalez Iniesta 	April 2002 	March 2026
Alberto Caramés Mata 	November 2009 	August 2015
Alberto Fuentes 	June 2011 	November 2025
Alberto Garcia 	April 2002 	April 2026
Alberto Luaces 	February 2008 	September 2025
Alberto Milone 	July 2010 	November 2013
Alberto Molina Coballes 	February 2006 	March 2023
Alberto Moshpirit 	August 2016 	August 2016
Albin Tonnerre 	December 2007 	October 2016
Albino B Neto 	May 2012 	August 2012
Albino B Neto 	May 2013 	April 2016
Albino Biasutti Neto 	May 2012 	May 2012
Alceste Scalas 	October 2005 	November 2007
Alcove 	January 2005 	February 2005
Aldous Penaranda 	December 2005 	March 2006
Alec Berryman 	July 2004 	December 2009
Alec Leamas 	February 2015 	February 2026
Alejandro Exojo Piqueras 	January 2005 	August 2006
Alejandro Garrido Mota 	April 2013 	January 2021
Alejandro Rios P. 	May 2006 	November 2007
Alejandro Ríos Peña 	October 2004 	April 2017
Alejandro Valenzuela 	September 2007 	April 2009
Aleksey Kravchenko 	June 2011 	May 2025
Aleksey Midenkov 	May 2006 	November 2009
Aleksey Zapparov 	May 2007 	May 2008
Alen Zekulic 	March 2000 	September 2025
Ales Zabala Alava 	July 2007 	June 2010
Alessandro Amici 	March 2004 	May 2004
Alessandro De Zorzi 	November 2004 	April 2025
Alessandro Frigeri 	June 2005 	September 2010
Alessandro Ghedini 	November 2010 	November 2025
Alessandro Ogier 	June 2006 	February 2025
Alessio Treglia 	August 2008 	May 2021
Alex ARNAUD 	August 2015 	August 2019
Alex Alcantar 	April 2012 	January 2026
Alex Bodnaru 	January 2005 	July 2020
Alex Brasetvik 	February 2004 	December 2008
Alex Chal 	February 2011 	July 2012
Alex Chiang 	June 2010 	March 2013
Alex Corcoles 	September 2008 	July 2016
Alex Gaynor 	January 2014 	July 2022
Alex Henrie 	May 2013 	May 2024
Alex Kuklin 	August 2004 	December 2017
Alex Launi 	August 2009 	October 2009
Alex Malinovich 	February 2002 	January 2010
Alex Mestiashvili 	February 2011 	February 2020
Alex Morega 	April 2008 	May 2019
Alex Muntada 	September 2007 	February 2026
Alex Owen 	May 2004 	November 2025
Alex Pennace 	January 2001 	November 2024
Alex Roitman 	July 2001 	June 2005
Alex Romosan 	July 2004 	July 2004
Alex S 	January 2008 	April 2008
Alex Theotokatos 	May 2013 	August 2014
Alex Valavanis 	July 2010 	October 2015
Alex Waite 	June 2011 	August 2015
Alex de Landgraaf 	October 2001 	June 2004
Alex de Oliveira Silva 	January 2007 	February 2007
Alexander Alemayhu 	July 2013 	May 2015
Alexander Block 	November 2008 	March 2009
Alexander Chernyakhovsky 	October 2011 	December 2025
Alexander Clausen 	May 2007 	July 2022
Alexander Couzens 	June 2015 	May 2022
Alexander Dreyer 	September 2011 	April 2013
Alexander GQ Gerasiov 	July 2003 	October 2025
Alexander Gattin 	June 2005 	September 2013
Alexander Golovko 	October 2011 	June 2016
Alexander Gordeev 	February 2007 	October 2009
Alexander Inyukhin 	June 2005 	September 2025
Alexander Klimov 	November 2011 	August 2020
Alexander Koch 	November 1998 	March 2003
Alexander Konovalenko 	February 2004 	June 2007
Alexander Kotelnikov 	June 2000 	April 2026
Alexander List 	November 1997 	April 2025
Alexander Neumann 	March 2002 	April 2026
Alexander Nordlund 	September 2012 	October 2012
Alexander Pashaliyski 	March 2012 	August 2012
Alexander Perlis 	February 2013 	February 2017
Alexander Petrov 	February 2005 	September 2008
Alexander Reichle-Schmehl 	February 2006 	August 2025
Alexander Reshetov 	April 2009 	April 2012
Alexander Roth 	February 2011 	February 2011
Alexander Rydekull 	March 2007 	August 2014
Alexander Sack 	October 2003 	June 2018
Alexander Saltanov 	August 2001 	May 2004
Alexander Schmehl 	April 2002 	September 2025
Alexander Schremmer 	May 2006 	June 2006
Alexander Shinn 	August 1999 	August 2000
Alexander Sitnik 	April 2005 	July 2015
Alexander Strasser 	April 2014 	March 2017
Alexander Toresson 	December 2004 	April 2019
Alexander Wirt 	April 2002 	April 2026
Alexander Wolf 	March 2009 	May 2017
Alexander Zangerl 	December 1999 	April 2026
Alexandra Yates 	August 2014 	February 2016
Alexandre Cavalcante Alencar 	October 2009 	October 2010
Alexandre Dantas 	March 2014 	August 2014
Alexandre De Dommelin 	June 2009 	April 2011
Alexandre Delanoë 	October 2012 	April 2025
Alexandre Detiste 	January 2014 	April 2026
Alexandre Fayolle 	June 2002 	October 2011
Alexandre Fayolle 	April 2002 	December 2015
Alexandre GRIVEAUX 	June 2014 	April 2026
Alexandre Gramfort 	November 2013 	August 2019
Alexandre Mestiashvili 	March 2018 	August 2025
Alexandre Pineau 	November 2002 	November 2007
Alexandre Pineau 	November 2006 	November 2006
Alexandre Quessy 	January 2010 	August 2014
Alexandre Rossi 	August 2005 	April 2026
Alexandre Viard 	June 2022 	January 2026
Alexandre Viau 	October 2014 	December 2022
Alexandre Viau 	November 2012 	June 2025
Alexandru Mihail 	January 2020 	March 2026
Alexei Kaminski 	February 2002 	August 2005
Alexei Nikolov 	December 2003 	August 2021
Alexej Pastuchow 	April 2008 	November 2008
Alexis Bezverkhyy 	August 2006 	April 2015
Alexis Bienvenüe 	April 2010 	April 2026
Alexis Darrasse 	October 2006 	April 2008
Alexis Murzeau 	November 2014 	April 2026
Alexis PM 	April 2008 	April 2023
Alexis Saettler 	October 2003 	June 2004
Alexis Sukrieh 	September 2006 	July 2009
Alf Gaida 	December 2011 	February 2020
Alf Tonny Bätz 	October 2007 	March 2015
Alfonso Sabato Siciliano 	March 2013 	February 2019
Ali Mezgani 	February 2009 	December 2011
Aliaksey Kandratsenka 	July 2010 	March 2026
Alice Ferrazzi 	July 2009 	June 2013
Alin Andrei 	June 2014 	June 2014
Alkis Georgopoulos 	December 2008 	January 2024
Allard Hoeve 	September 2003 	September 2013
Allison Randal 	April 2011 	March 2020
Allison Ryan Lortie 	August 2005 	October 2015
Alois Schloegl 	January 2011 	February 2026
Aloïs Micard 	November 2019 	January 2026
Alp Toker 	July 2001 	March 2009
Alper Nebi Yasak 	August 2019 	September 2025
Alphan Bayazıt 	February 2006 	February 2006
Aluizio Barbosa de Oliveira Neto 	April 2024 	April 2024
Alvaro del Castillo 	March 2003 	November 2009
Alwin Meschede 	October 2003 	April 2008
Amanpreet Singh Alam 	January 2005 	February 2006
Amaya Rodrigo Sastre 	June 2001 	April 2026
Ambrose Andrews 	February 2004 	January 2021
Amir H. Firouzian 	October 2015 	September 2019
Amit Shah 	July 2003 	May 2009
Amos Blanton 	August 2011 	September 2012
Amos Jeffries 	June 2007 	March 2026
Amos Waterland 	April 2008 	April 2025
Amr Helmy 	April 2009 	August 2010
Amul Shah 	February 2013 	February 2013
An Le 	November 2000 	August 2002
Ana Carolina 	August 2025 	August 2025
Ana Beatriz Guerrero López 	December 2005 	April 2026
Ana Carolina Parra 	September 2025 	November 2025
Ana Carolina Comandulli 	August 2010 	February 2011
Ana Carolina Comandulli 	September 2011 	June 2012
Ana Custura 	March 2016 	November 2024
Ana Oliveira 	August 2024 	August 2025
Ana Rodríguez López 	August 2015 	April 2025
Ana-Lucia Ferrin 	November 2013 	November 2013
Anand Kumria 	April 2000 	April 2026
Anant Narayanan 	January 2006 	September 2006
Ananth A 	July 2010 	November 2010
Ananthu C V 	September 2023 	February 2026
Andeas Schockenhoff 	October 2001 	July 2023
Anders Hammarquist 	March 1998 	October 2019
Anders Jenbo 	March 2010 	September 2010
Anders Jonsson 	June 2013 	December 2025
Anders Kaseorg 	May 2008 	August 2023
Anders Waldenborg 	July 2007 	August 2009
Andika Triwidada 	May 2004 	December 2025
Andras Bali 	May 2001 	September 2002
Andras Pal 	September 2016 	November 2023
Andre Luis Lopes 	May 2002 	March 2026
Andre Bianchi 	April 2015 	April 2025
Andre Felipe Machado 	June 2004 	August 2017
Andre Filipe de Assuncao e Brito 	April 2003 	November 2007
Andre L.R.Ferreira 	September 2005 	October 2008
Andre Luis Lopes 	July 2000 	November 2007
Andre Paiusco 	November 2024 	October 2025
Andrea Bolognani 	December 2005 	April 2026
Andrea Capriotti 	May 2002 	November 2025
Andrea Colangelo 	October 2007 	April 2015
Andrea Colangelo 	July 2009 	January 2014
Andrea Corbellini 	April 2010 	August 2015
Andrea Corradi 	August 2008 	November 2011
Andrea De Iacovo 	April 2008 	May 2013
Andrea Fanfani 	June 1999 	November 2007
Andrea Gasparini 	October 2003 	October 2013
Andrea Glorioso 	March 2003 	August 2003
Andrea Mennucci 	January 1999 	April 2026
Andrea Neroni 	August 2009 	December 2023
Andrea Palazzi 	November 2006 	January 2026
Andrea Veri 	September 2009 	April 2017
Andreas B. Mundt 	February 2005 	February 2026
Andreas B. Mundt 	January 2010 	January 2012
